Title,Ended,Speakers,Duration
"La Abogada, el Economista y el Ingeniero - #Tesla en Monterrey",Mar 2 2023,25,2h 41m
Banda Web3 - Shitcoin Season,Dec 21 2023,5,1h 03m
"La Criptoartista, el Economista y el Ingeniero -Bitcoin/Metaverse",Feb 7 2023,8,1h 51m
Cripto Latin Fest - Inolvidable,Aug 22 2023,31,2h 30m
Recap Ethereum México y Foro Blockchain Qro,Oct 26 2023,15,2h 38m
"El economista, el profesor y el ingeniero - Tokenización de activos",Jan 24 2023,4,1h 21m
"El Profesor, el Economista y el Ingeniero - Eventos Web3, hay valor?",Apr 25 2023,21,3h 09m
Bitcoin Bitcoin Bitcoin (español),Dec 3 2021,11,2h 32m
"El Contador, el Economista y el Ingeniero - Fed Chair Powell",Mar 7 2023,6,1h 05m
El primer examen On Chain del mundo - DEFI,Sep 19 2023,7,1h 56m
"La abogada, el economista y el ingeniero - NFTs @cervezaindio",Dec 15 2022,6,1h 37m
"La Maestra, el Economista y el Ingeniero - CriptoMéxico en MTY",May 30 2023,28,2h 36m
"La abogada, el economista y el ingeniero",Jan 17 2023,11,2h 00m
"Los Ethereans, la Sacerdotisa y el Ingeniero - Phygital",Sep 5 2023,9,2h 24m
"La abogada, el economista y el ingeniero - dominios ens y otros",Feb 2 2023,16,2h 03m
El Economista y el Ingeniero - Argentina y Milei,Nov 23 2023,9,1h 21m
"La sacerdotisa, la honguitos y el ingeniero - Códigos de conducta",Jul 4 2023,24,2h 59m
Subasta de WL #Sub80k con $MEXI y $Sub80k,Dec 31 2023,2,2h 17m
"Banda Web3 - Grants de @Meta_Pool, XRC20 $SUB80K",Jan 25 2024,5,1h 55m
"Banda Web3 - Nouns, Prop House y Nouns DAO Amigos",Jan 11 2024,16,2h 11m
Conoce las iniciativas de @Nohbek_oficial y sus fundadoras,Nov 14 2023,10,2h 06m
NFT Arte y artistas de piezas 1-1. Episodio 05 con @meximalist,Jul 29 2022,7,2h 37m
El economista y el ingeniero Ep03,Nov 17 2022,7,1h 30m
Previo al evento en Monterrey de @MarcusDantusNFT,Nov 22 2022,11,1h 20m
"La Curadora, la Sacerdotisa y el Ingeniero - Eventos en CDMX",Jul 18 2023,10,2h 30m
El Economista y el Ingeniero - ¿Shitcoins = Ponzis?,May 16 2023,22,3h 20m
"El DJ, el Economista y el Ingeniero - @brozrdz",Feb 28 2023,30,4h 14m
AMA @openshowmx | Aleks Syntek @syntekoficial habla de Web3,Nov 2 2023,19,3h 57m
Platicando sobre propiedad intelectual de  (Español),Jun 16 2022,13,2h 48m
"La abogada, el economista y el ingeniero - The Rug Pull Report 2022",Dec 22 2022,7,1h 55m
AMA del Developer Bootcamp con Algorand Foundation,May 17 2023,3,1h 18m
La Sacerdotisa y el Ingeniero - Vara / CriptoMéxico / Polkadot Decoded,Jun 20 2023,18,2h 27m
El economista y el ingeniero Ep04,Nov 22 2022,11,1h 51m